2025-09-13 (00:01:02) -->  PaksDatabase Db Connected
2025-09-13 (00:01:02) -->  PaksDatabase SELECT id FROM crimes where deleted_at is null and person_id = '9' and status = 0 executed
2025-09-13 (00:01:02) -->  PaksDatabase SELECT id FROM crimes where deleted_at is null and person_id = '9' and status = 0 executed
2025-09-13 (00:01:02) -->  PaksDatabase Db Connection Closed..
2025-09-13 (00:01:02) -->  PaksDatabase Db Connected
2025-09-13 (00:01:02) -->  PaksDatabase SELECT id FROM crimes where deleted_at is null and person_id = '10' and status = 0 executed
2025-09-13 (00:01:02) -->  PaksDatabase SELECT id FROM crimes where deleted_at is null and person_id = '10' and status = 0 executed
2025-09-13 (00:01:02) -->  PaksDatabase Db Connection Closed..
2025-09-13 (00:01:02) -->  PaksDatabase Db Connected
2025-09-13 (00:01:02) -->  PaksDatabase SELECT id FROM crimes where deleted_at is null and person_id = '11' and status = 0 executed
2025-09-13 (00:01:02) -->  PaksDatabase SELECT id FROM crimes where deleted_at is null and person_id = '11' and status = 0 executed
2025-09-13 (00:01:02) -->  PaksDatabase Db Connection Closed..
2025-09-13 (00:01:02) -->  PaksDatabase Db Connected
2025-09-13 (00:01:02) -->  PaksDatabase SELECT id FROM crimes where deleted_at is null and person_id = '12' and status = 0 executed
2025-09-13 (00:01:02) -->  PaksDatabase SELECT id FROM crimes where deleted_at is null and person_id = '12' and status = 0 executed
2025-09-13 (00:01:02) -->  PaksDatabase Db Connection Closed..
2025-09-13 (00:01:02) -->  PaksDatabase Db Connected
2025-09-13 (00:01:02) -->  PaksDatabase SELECT id FROM crimes where deleted_at is null and person_id = '13' and status = 0 executed
2025-09-13 (00:01:02) -->  PaksDatabase SELECT id FROM crimes where deleted_at is null and person_id = '13' and status = 0 executed
2025-09-13 (00:01:02) -->  PaksDatabase Db Connection Closed..
2025-09-13 (00:01:02) -->  PaksDatabase Db Connected
2025-09-13 (00:01:02) -->  PaksDatabase SELECT id FROM crimes where deleted_at is null and person_id = '14' and status = 0 executed
2025-09-13 (00:01:02) -->  PaksDatabase SELECT id FROM crimes where deleted_at is null and person_id = '14' and status = 0 executed
2025-09-13 (00:01:02) -->  PaksDatabase Db Connection Closed..
2025-09-13 (00:01:02) -->  PaksDatabase Db Connected
2025-09-13 (00:01:02) -->  PaksDatabase SELECT id FROM crimes where deleted_at is null and person_id = '15' and status = 0 executed
2025-09-13 (00:01:02) -->  PaksDatabase SELECT id FROM crimes where deleted_at is null and person_id = '15' and status = 0 executed
2025-09-13 (00:01:02) -->  PaksDatabase Db Connection Closed..
2025-09-13 (00:01:02) -->  PaksDatabase Db Connected
2025-09-13 (00:01:02) -->  PaksDatabase SELECT id FROM crimes where deleted_at is null and person_id = '16' and status = 0 executed
2025-09-13 (00:01:02) -->  PaksDatabase SELECT id FROM crimes where deleted_at is null and person_id = '16' and status = 0 executed
2025-09-13 (00:01:02) -->  PaksDatabase Db Connection Closed..
2025-09-13 (00:01:02) -->  PaksDatabase Db Connected
2025-09-13 (00:01:02) -->  PaksDatabase SELECT id FROM crimes where deleted_at is null and person_id = '17' and status = 0 executed
2025-09-13 (00:01:02) -->  PaksDatabase SELECT id FROM crimes where deleted_at is null and person_id = '17' and status = 0 executed
2025-09-13 (00:01:02) -->  PaksDatabase Db Connection Closed..
2025-09-13 (00:01:02) -->  PaksDatabase Db Connected
2025-09-13 (00:01:02) -->  PaksDatabase SELECT id FROM crime_check_times where deleted_at is null and crime_id = 38 and print_status is null and date(end_time) < CURRENT_DATE() LIMIT 1 executed
2025-09-13 (00:01:02) -->  PaksDatabase SELECT id FROM crime_check_times where deleted_at is null and crime_id = 38 and print_status is null and date(end_time) < CURRENT_DATE() LIMIT 1 executed
2025-09-13 (00:01:02) -->  PaksDatabase Db Connection Closed..
2025-09-13 (00:01:30) -->  Laravel schedule:run komutu çalýþtýrýlýyor...
2025-09-13 (00:01:30) -->  Laravel Scheduler: Çalýþacak zamanlanmýþ görev yok
2025-09-13 (00:02:27) -->  Check fingerprint module exception: is_device_open() missing 1 required positional argument: 'dev'
2025-09-13 (00:02:27) -->  Skipped fp_module control due to the lock
2025-09-13 (00:02:30) -->  Laravel schedule:run komutu çalýþtýrýlýyor...
